Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
re-create-discontinued-lip-stick,,,,,,,,Matte,,,,,"",227,shopify,8,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Stick_Closed-2_1a806da2-78a5-48ac-bef1-b9b1fc735145.jpg?v=1498425869,2,,,,,,,,,,,,,,,,,,,lb,
re-create-discontinued-lip-stick,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Stick_Money-in-the-Bank_63ce579c-7146-4dd1-8919-e7cd6bece851.jpg?v=1498425869,3,,,,,,,,,,,,,,,,,,,,
starter-kit-lipstick-palette,Starter Kit  - Exclusive,"<p><b>MORE THAN A LIPSTICK PALETTE</b></p>
<p><span style=""font-weight: 400;"">With 22 high-pigment lip colors and 175,000+ possible combinations, Starter Kit 2.0 puts an entire lipstick counter in the palm of your hands. Even better, each Kit comes with a code to redeem a full-sized Custom Lip Stick in your favorite hue and finish.</span></p>
<p><b>HOW IT WORKS</b></p>
<p><span style=""font-weight: 400;"">STEP 1: EXPERIMENT WITH LIP COLORS</span></p>
<p><span style=""font-weight: 400;"">Try out the base colors and experiment with different combinations and mixes. There are so many possibilities! (We did the math. It’s around 175,000 if you want to put a number to it.)</span></p>
<p><span style=""font-weight: 400;"">STEP 2: FIND YOUR FORMULA</span></p>
<p><span style=""font-weight: 400;"">Once you find your winning combination, submit the color formula through our </span><a href=""https://www.findingferdinand.com/collections/lip-colors/products/create-a-custom-lipstick-color""><span style=""font-weight: 400;"">Color Mixing Tool</span></a><span style=""font-weight: 400;""> online or on mobile through our </span><a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick/id1193085629?mt=8""><span style=""font-weight: 400;"">Lipstick &amp; Beauty app</span></a><span style=""font-weight: 400;"">.</span></p>
<p><span style=""font-weight: 400;"">STEP 3: GET YOUR CUSTOM LIP STICK</span></p>
<p><span style=""font-weight: 400;"">Use the unique coupon code that comes with each Kit to redeem a free </span><a href=""https://www.findingferdinand.com/collections/customize/products/create-a-custom-lipstick-color""><span style=""font-weight: 400;"">Custom Lip Stick</span></a><span style=""font-weight: 400;""> in creamy, matte or sheer. Get it delivered straight to your door.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<p><b>PALETTE</b></p>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.39oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Dimensions: 14.5cm x 11cm x 1.3cm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Magnetic base allows you to easily refill a shade</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Full mirror that holds its weight so you can get ready anywhere</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">22 curated lip colors to create 175K+ color combinations</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Two empty wells for mixing</span></li>
</ul>
<p><b>EXTRAS</b></p>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Dual-End Lip Brush / angled lip brush and spatula</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">FFgirl Sticker Set</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Complimentary code for a Custom Full-Size Lip Stick </span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High pigment and long lasting wear</span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Creamy, semi-shine, light</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,palette,"",true,Title,Default Title,,,,,FF01,9,shopify,86,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Starter-Kit_Semi-Open-Full.jpg?v=1499551042,1,,false,,,,health & beauty,,,,,,true,,,,,,,oz,
starter-kit-lipstick-palette,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Starter_Kit_Swatch_cbe08a73-795e-438c-bafd-31fc8cc54086.jpg?v=1499551042,2,,,,,,,,,,,,,,,,,,,,
starter-kit-lipstick-palette,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Lipstick_Colors_0a065625-49e9-4764-8d7a-ea5eb1265824.jpg?v=1499551042,3,,,,,,,,,,,,,,,,,,,,
hurricane-drunk-lip-tint,Hurricane Drunk Lip Tint,"<meta charset=""utf-8"">
<p><strong></strong>For the lady who wants to bring a soft-yet-bright pop of color to her day! This lively pink shade is sure to bring smiles.</p>
<p class=""p1"">With a blend of hydrating oils and creamy lip color, Finding Ferdinand Lip Tint is the tinted lip balm that adds an effortless pop to your look. The sheer color creates a soft look that is buildable on your lips and can be swiped and blended across your cheeks for a light flush of color.  A twistable crayon packaging allows the Lip Tint to be clean and portable, perfect for tossing in your bag and applying on the go. </p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8""><span class=""s1"">Finding Ferdinand Lipstick &amp; Beauty App</span></a>:</p>
<p><em>Creamy Mauve + Pink Pizzazz + Orange Flare</em></p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.12 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 16mm x 110mm</li>
<li class=""li1"">
<span class=""s1""></span>Build-able color</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow color to go on smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> Sheer, buildable color</p>
<p class=""p1""><b>TEXTURE:</b> Smooth and balmy without being sticky or too glossy</p>
<p class=""p1""><b>KEY INGREDIENTS:</b> Castor Oil, Grapeseed Oil, Jojoba Oil, Argan Oil</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"beauty, chubby stick, Lip Tint, quick stick",false,Title,Default Title,,,,,SA20,0,shopify,30,continue,manual,28.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Quick-Stick_Hurricane-Drunk.jpg?v=1497996286,1,,false,,,,,,,,,,,,,,,,,lb,
hurricane-drunk-lip-tint,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Hurricane-Drunk-Circles.jpg?v=1497996766,2,,,,,,,,,,,,,,,,,,,,
the-manhattanhenge-palette,The Manhattanhenge Palette,"<img src=""//cdn.shopify.com/s/files/1/1099/1078/files/As_seen_on_the_Color_Guide_3_large.png?v=1500507794"" alt="""">
<p style=""text-align: left;""><span style=""font-weight: 400;"">8 of our hottest, bronziest eyeshadows to help you create those trending sunset eyes and burnt-orange looks you saw on Insta.  This RTW Overshadow Palette</span><span style=""font-weight: 400;""> is inspired by the warm nudes in the Naked Heat palette.</span></p>
<meta charset=""utf-8"">
<p style=""text-align: left;""><span style=""font-weight: 400;"">Read the <a href=""https://www.findingferdinand.com/blogs/color-guide/alternative-to-urban-decay-naked-heat-palette"" target=""_blank"" rel=""noopener noreferrer"">Color Guide Story</a> to find out more about the inspiration behind this palette!</span></p>
<p style=""text-align: left;""><span style=""font-weight: 400;""><img alt="""" src=""//cdn.shopify.com/s/files/1/1099/1078/files/Manhattanhenge_Swatches_large.jpg?v=1497972117""></span></p>
<p style=""text-align: left;""> </p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.51oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Palette Dimensions: 14.5cm x 11cm x 1.3cm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Magnetic base allows you to easily refill a shade</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Full mirror that holds its weight so you can get ready anywhere</span></li>
</ul>
<ul></ul>
<p><b>EYESHADOW COLORS</b></p>
<ul>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-extra-foam-b20"" target=""_blank"" rel=""noopener noreferrer"">Extra Foam</a>: Cool tone, cream-colored eyeshadow with a matte finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-crush-a12"" target=""_blank"" rel=""noopener noreferrer"">Crush</a>: Neutral tone, peach eyeshadow with a shimmery finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-honey-moon-c5"" target=""_blank"" rel=""noopener noreferrer"">Honey Moon</a><a href=""https://www.findingferdinand.com/products/eyeshadow-honey-moon-c5"" target=""_blank"" rel=""noopener noreferrer""></a>: Warm tone, rose gold eyeshadow with a metallic finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-lucky-penny-b41"" target=""_blank"" rel=""noopener noreferrer"">Lucky Penny</a>: Warm tone, copper eyeshadow with a shimmery finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-haute-chocolate-b62"" target=""_blank"" rel=""noopener noreferrer"">Haute Chocolate</a>: Warm tone, brown eyeshadow with a matte finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-cocoa-chanel-c4"" target=""_blank"" rel=""noopener noreferrer"">Cocoa Chanel</a>: Warm tone, golden brown eyeshadow with a metallic finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-violet-pride-b102"" target=""_blank"" rel=""noopener noreferrer"">Violet Pride</a>: Warm tone, plum eyeshadow with a slightly shimmery finish</li>
<li>
<a href=""https://www.findingferdinand.com/products/eyeshadow-grizzly-b21"" target=""_blank"" rel=""noopener noreferrer"">Grizzly</a>: Cool tone, brown eyeshadow with a matte finish</li>
</ul>
<p><b>EXTRA GOODIES</b></p>
<p><span style=""font-weight: 400;"">Receive a </span><a href=""https://www.findingferdinand.com/products/ffgirl-sticker-set""><span style=""font-weight: 400;"">complimentary FFgirl Sticker Set</span></a><span style=""font-weight: 400;""> and </span><a href=""https://www.findingferdinand.com/collections/brushes/products/dual-eye-brush""><span style=""font-weight: 400;"">Dual-End Eye Brush</span></a><span style=""font-weight: 400;""> with each palette.</span></p>
<p><b>PIGMENTATION: </b><span style=""font-weight: 400;"">High-pigmented powders that blend easily</span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,palette,"all in one, Overnight, palette, travel",true,Title,Default Title,,,,,"",227,shopify,9,continue,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Manhattanhenge-Product-Page-Image.jpg?v=1497996529,1,,false,,,,,,,,,,,,,,,,,lb,
the-manhattanhenge-palette,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Overshadow_Eyeshadow_Palette_Manhattanhenge_Set.jpg?v=1497996529,2,,,,,,,,,,,,,,,,,,,,
the-manhattanhenge-palette,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Stickers_7ab3a4c1-fa29-4cd1-959d-f6c379be6dce.jpg?v=1497996529,3,,,,,,,,,,,,,,,,,,,,
poppy-fields-lip-color,Poppy Fields Lip Stick,"<meta charset=""utf-8"">
<p><b></b>Poppy Fields is a classic red perfect for any day! This wearable yet bright shade will bring a pop of color to any look.  The classic color makes this shade perfect for any season and any occasion.</p>
<p><span class=""s1"">Finding Ferdinand is about finding the things that make up our best selves. With high pigments, Finding Ferdinand creates friendly lip colors that brighten up your grin. The creamy texture provides comfort while our ingredients naturally hydrate and protect your lips from harsh wind and harmful sun rays. Seed oils and leaf extracts create a natural, shiny finish that is perfect for every occasion. Without harmful ingredients, we put the best things in our lip colors so you can show off the best you with no worries.</span></p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8""><span class=""s1"">Finding Ferdinand Lipstick &amp; Beauty App</span></a>:</p>
<p class=""p2""><span class=""s1""><i>Tequila Sunrise + Nob Hill Red</i></span></p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.1 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 21mm x 21mm x 76mm</li>
<li class=""li1"">
<span class=""s1""></span>High-pigment for long lasting wear</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow lip colors to apply smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> High pigment and long lasting wear</p>
<p class=""p1""><b>TEXTURE:</b> Creamy, semi-shine, light</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",Finding Ferdinand,Beauty,"",true,Finish,Creamy Lip Stick,,,,,SA19,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Color_Poppy-Fields.jpg?v=1500390838,1,,false,,,,,,,,,,,,,,,,,oz,
poppy-fields-lip-color,,,,,,,,Matte Lip Stick,,,,,SA19,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Poppy_Fields_Finding_Ferdinand_Lip_Stick.png?v=1500390838,2,,,,,,,,,,,,,,,,,,,oz,
poppy-fields-lip-color,,,,,,,,Sheer Lip Tint,,,,,SA19,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Poppy-Fields.jpg?v=1500390838,3,,,,,,,,,,,,,,,,,,,oz,
copy-of-finding-ferdinand-sunkissed-lip-color,Sunkissed Mini Lip Stick,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p><strong><img src=""//cdn.shopify.com/s/files/1/1099/1078/files/As_seen_on_the_Color_Guide_3_large.png?v=1500507794"" alt=""""></strong></p>
<p><strong></strong>Sunkissed is a creamy shade inspired by MAC X Fleur De Force. This lipstick is a cool pink beige with a creamy finish, perfect for a subtle pop of color!</p>
<meta charset=""utf-8"">
<p><a href=""https://www.findingferdinand.com/blogs/color-guide/dupealerte-6-nude-ity"" title=""Finding Ferdinand DupeAlerte Nude-ity"" target=""_blank"" rel=""noopener noreferrer"">Learn how to recreate this color on our Color Guide</a>.</p>
<p>In our 'DupeAlerte' series, we're re-imagining the most popular colors seen online using the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8"" target=""_blank"" rel=""noopener noreferrer"">Finding Ferdinand Lipstick &amp; Beauty App</a>! If you have a new favorite color you would like us to recreate, email us at <a target=""_blank"" href=""mailto:hello@findingferdinand.com"" rel=""noopener noreferrer"">hello@findingferdinand.com</a>.</p>
<p> <img src=""//cdn.shopify.com/s/files/1/1099/1078/files/Sunkissed_Body_large.png?v=1494989703"" alt=""""></p>
<p> </p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.04 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Dimensions: 15mm x 15mm x 55.3mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">High-pigment for long lasting wear</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Moisturizing blend of botanical oils that allow lip colors to apply smoothly</span></li>
</ul>
<p><b>PIGMENTATION: </b><span style=""font-weight: 400;"">High pigment and long lasting wear</span></p>
<p><b>TEXTURE: </b><span style=""font-weight: 400;"">Comfortable and wearable matte</span></p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip colors to be handcrafted.</span></p>
<p> </p>",findingferdinand2,Beauty,"",true,Title,Default Title,,,,,SA17,3,shopify,4,continue,manual,6.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Mini_Sunkissed_2361dfcb-cee4-4372-84e0-ac918b68e183.jpg?v=1501597002,1,,false,,,,,,,,,,,,,,,,,oz,
copy-of-finding-ferdinand-sunkissed-lip-color,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Sunkissed_Finding_Ferdinand_Lip_Stick.png?v=1501597002,2,,,,,,,,,,,,,,,,,,,,
copy-of-finding-ferdinand-sunkissed-lip-color,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Sunkissed.jpg?v=1501597002,3,,,,,,,,,,,,,,,,,,,,
finding-ferdinand-cappuccino-lip-color,Cappuccino Mini Lip Stick,"<meta charset=""utf-8"">
<p style=""text-align: left;""><img src=""//cdn.shopify.com/s/files/1/1099/1078/files/As_seen_on_the_Color_Guide_3_large.png?v=1500507794"" alt=""""></p>
<p>Cappuccino is a creamy nude-brown shade inspired by Colourpop's ULTRA Matte Beeper.</p>
<meta charset=""utf-8"">
<p><strong><a href=""https://www.findingferdinand.com/blogs/color-guide/dupealerte-6-nude-ity"">Learn how to recreate this color on our Color Guide.</a></strong><i> </i></p>
<p>In our 'DupeAlerte' series, we're re-imagining the most popular colors seen online using the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8"" target=""_blank"" rel=""noopener noreferrer"">Finding Ferdinand Lipstick &amp; Beauty App</a>! If you have a new favorite color you would like us to recreate, email us at <a target=""_blank"" href=""mailto:hello@findingferdinand.com"" rel=""noopener noreferrer"">hello@findingferdinand.com</a>.</p>
<p> <img src=""//cdn.shopify.com/s/files/1/1099/1078/files/Cappuccino_Body_large.png?v=1494989688"" alt=""""></p>
<p> </p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.04 oz</li>
<li class=""li1"">Dimensions: 15mm x 15mm x 55.3mm</li>
<li class=""li1"">
<span class=""s1""></span>High-pigment for long lasting wear</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow lip colors to apply smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> High pigment and long lasting wear</p>
<p class=""p1""><b>TEXTURE:</b> Comfortable and wearable matte</p>
<meta charset=""utf-8"">
<p><b>BENEFITS:<span> </span></b><span>A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span>Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span>Ingredients page</span></a><span> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span>Get FREE standard shipping on all U.S. orders.</span></p>
<p>U.S. Priority Mail (2-3 days): $5</p>
<p><span>Standard Shipping to Canada: $25</span></p>
<p><span>Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span>It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"",true,Title,Default Title,,,,,SA18,3,shopify,5,continue,manual,6.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Mini_Cappuccino_d23ba72e-f5b4-444e-a60e-12868d1930f6.jpg?v=1501597078,1,,false,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-cappuccino-lip-color,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Cappuccino_Finding_Ferdinand_Lip_Stick.png?v=1501597078,2,,,,,,,,,,,,,,,,,,,,
finding-ferdinand-cappuccino-lip-color,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Cappuccino.jpg?v=1501597078,3,,,,,,,,,,,,,,,,,,,,
